word	frequency
qorxub	36
basdı	36
gəlsə	36
qoymadı	36
gedəm	36
car	36
rədd	36
kənarına	36
qatır	36
yazdı	36
tapım	36
əlindəki	36
sağsağan	36
qurtarandan	36
fatmaxanım	36
nərgiz	36
skəndərin	36
toppuzu	36
külkəman	36
lam	36
noxudoğlan	36
əlimə	35
eləyək	35
hamam	35
allahın	35
əhli	35
boynun	35
xanoğlan	35
şahı	35
çatıb	35
görmədi	35
şərt	35
doldurub	35
qapısına	35
keçdilər	35
ağlına	35
tap	35
ayın	35
gözlə	35
əllərini	35
ayağının	35
bına	35
dayan	35
əvəzində	35
gətirməyə	35
girən	35
yoldaş	35
bir-birinin	35
sübh	35
buradan	34
qonşu	34
gizlin	34
hamama	34
mümkün	34
dərman	34
dükanına	34
hanı	34
yağ	34
çağırtdırdı	34
düzəltdi	34
sana	34
oturdular	34
görüşüb	34
yandan	34
zəhmət	34
geydi	34
yarpağı	34
dil	34
qardaşının	34
dolu	34
səsini	34
vermək	34
söyləyib	34
öldürə	34
gözlərinə	34
axırıncı	34
çatır	34
atanın	34
istəsən	34
gözüm	34
naxırçının	34
cəllad	34
dərdini	34
qiymətli	34
gedər	34
axtarıb	34
davaya	34
torpağa	34
ağlı	34
nahaq	34
göyçək	34
yalvarmağa	34
arvat	34
günorta	34
soruşur	34
bağı	34
otağın	34
alov	34
möhsün	34
çevrildi	34
işıqlı	34
qoçun	34
əlmərdan	34
üçbığ	34
əbülqasım	34
li	34
noxud	34
təklif	33
ərim	33
bəri	33
olacax	33
gətirim	33
sağ-salamat	33
bildirdi	33
qarşısında	33
varıymış	33
keçən	33
mağaraya	33
səhərə	33
dəniz	33
abbasın	33
daşını	33
öldür	33
yudu	33
güclü	33
qorxuram	33
bıra	33
üzə	33
suda	33
çəkdilər	33
fatı	33
quldurlar	33
qadın	33
deyərəm	33
qaranquş	33
dağının	33
çıraxlı	33
kral	33
ətini	32
güldü	32
uzaqdan	32
quyruğu	32
kişini	32
kişiyə	32
alan	32
qızılları	32
aldım	32
düşən	32
üzü	32
bilim	32
bilib	32
mehriban	32
çağır	32
dərvişi	32
yəni	32
şirzad	32
aya	32
yemə	32
adına	32
quyuda	32
qızından	32
xana	32
torpağı	32
eşiyə	32
eləyirsən	32
birisi	32
öldürsün	32
atıldı	32
qıfıllandı	32
arasına	32
yesin	32
asdı	32
uzanıb	32
t	32
çətin	32
fikrinə	32
doyunca	32
cibindən	32
söyləyir	32
muxtar	32
südəmən	32
çil	32
bəxtsiz	32
qarnını	31
naxırçı	31
bişirib	31
tərəfində	31
divi	31
tapdılar	31
böyüyüb	31
edim	31
incə	31
barədə	31
canını	31
oğlanlar	31
tutdular	31
yaşayır	31
əvəzinə	31
namərd	31
həyətdə	31
kəndiri	31
şeydi	31
belədi	31
kəsə	31
qocaya	31
tacirə	31
tilsimdən	31
saxlaya	31
oyandı	31
qılıncın	31
oğlandı	31
hərə	31
istəmirəm	31
oda	31
eşşək	31
qaçır	31
pərdənin	31
deyər	31
gedip	31
dua	31
ilanın	31
əlbəttə	31
nişan	31
maral	31
simanı	31
gülüb	30
guya	30
yuyub	30
kor-peşman	30
aparın	30
aş	30
uzatdı	30
töküldü	30
aşdı	30
keçmişdi	30
oradan	30
bazarda	30
edərəm	30
otaq	30
qaldırdı	30
ildırım	30
qovdu	30
istəmədi	30
olmur	30
yolladı	30
ürəyinə	30
olarsan	30
bilmək	30
hambal	30
dərvişə	30
oxşayır	30
qulluq	30
keyf	30
sarayına	30
yetişdilər	30
bağlı	30
əhvalat	30
yolla	30
çıxar	30
hündür	30
gedənnən	30
gözləyir	30
alıp	30
oxumağa	30
eybi	30
elədin	30
gəzdi	30
cik-cik	30
dərisini	30
edirdilər	30
görər	30
cümşüd	30
sehrli	30
xan-xani-çin	30
ma-lyan	30
ov	29
tülkünün	29
keçəndə	29
döyüb	29
göndərir	29
dərələrdən	29
birtəhər	29
canın	29
gözün	29
demişdi	29
saxlayıb	29
gözəllikdə	29
ilin	29
gedəsən	29
ip	29
şahzadəyə	29
hökm	29
onsuz	29
oğlanları	29
üstü	29
quşlar	29
nəbadə	29
tərkinə	29
cin	29
isti	29
çatan	29
çəkməyə	29
düzünü	29
gördün	29
tük	29
gəlməyə	29
evini	29
razıyam	29
verər	29
sahib	29
otaqda	29
çin	29
fürsəti	29
yatır	29
razılaşdı	29
paho	29
verəcəyəm	29
dərə-təpə	29
tula	29
ilanlar	29
şər	29
arvada	29
buyur	29
kərə	29
ağlaya-ağlaya	29
dizinin	29
padşahlıq	29
dəyirmançı	29
anasını	29
arxayın	29
ərinə	29
edirlər	29
dənizin	29
quyruğunu	29
qalın	29
qardaşlarının	29
qapıda	29
skəndəri	29
müqəddəs	29
pandunun	29
nok	29
qurtaran	28
keçəndən	28
bilmədim	28
atır	28
təpələrdən	28
yeyə	28
anan	28
öldürəcəyəm	28
pəncərədən	28
ədə	28
baxmağa	28
hind	28
qızların	28
izin	28
vəzirdən	28
yandırdı	28
danışıb	28
günnən	28
boyu	28
verək	28
bilməzdi	28
fikirləşib	28
gələrəm	28
duz	28
yoxudu	28
sevinə-sevinə	28
məclis	28
başlarını	28
sal	28
cənnət	28
əlinnən	28
əhvalatdan	28
göndər	28
qoyunu	28
almağa	28
gülüstani-i	28
qayıdır	28
bulağa	28
ilana	28
anam	28
soyunub	28
ölümdən	28
dili	28
balaları	28
loğman	28
düzül	28
kü	28
yoxsul	28
dəşküvarın	28
tarlaya	28
qembey	28
ayrılıb	27
camaatı	27
kəndir	27
gedəcək	27
qabağından	27
çaldı	27
əşi	27
soruşdular	27
aparsın	27
təmiz	27
baxır	27
boğazına	27
daldan	27
suyunu	27
alsın	27
canına	27
canım	27
ipi	27
heyran	27
əl-üzünü	27
xülasə	27
ərinin	27
yanır	27
bilmirsən	27
çinar	27
işim	27
görmüşəm	27
örtdü	27
tərəfi	27
qəm	27
axtardı	27
yatan	27
bizdən	27
yaxşıdı	27
getmə	27
istədilər	27
gizlənib	27
sözündən	27
pəhləvanı	27
gəlmiş	27
yan	27
rəml	27
oğurlayıb	27
bıdı	27
ot	27
vəkilin	27
narahat	27
atların	27
gəlim	27
danışırsan	27
darğanı	27
deyəcək	27
kitabı	27
dananı	27
verdiyi	27
bacısının	27
kimsə	27
tükü	27
oldum	27
rəmə	27
kənddə	27
quyruq	27
simana	27
çimnaz	27
toppuz	27
xunkar	27
cəllayat	27
düşmüşdü	26
işlər	26
qurdu	26
qanı	26
